type,cost,country,carrier,units,2030,2035,2040
generators,capital,AL,onwind,Euro,16408076.71,16408141.76,16408076.71
generators,capital,AL,ror,Euro,14418558.84,14418558.84,14418558.84
generators,capital,AL,solar,Euro,960681.5995,238544533.1,238544543.3
generators,capital,AL,solar rooftop,Euro,96746907.08,136615933.6,136615933.6
generators,capital,AT,onwind,Euro,984484523.1,979014926.5,894215644.22
generators,capital,AT,ror,Euro,1435125229.15,1435125229.15,1435125229.15
generators,capital,AT,solar,Euro,170005372.19,557936905.55,557929663.33
generators,capital,AT,solar rooftop,Euro,355639163.44,683144517.34,982845130.71
generators,capital,BA,onwind,Euro,76538201.74,76538275.91,76538201.74
generators,capital,BA,solar,Euro,4765753.339,70660486.45,250571784.8
generators,capital,BA,solar rooftop,Euro,157947538.1,303400231.1,346251773.1
generators,capital,BE,offwind,Euro,426411924.0,426411924.0,426411924.0
generators,capital,BE,offwind-ac,Euro,304.5432325,231163532.9,231163627.9
generators,capital,BE,offwind-dc,Euro,404590590.2,404590590.2,404590590.2
generators,capital,BE,onwind,Euro,378435851.77,470091963.92,456529384.73
generators,capital,BE,ror,Euro,23894183.416,23894183.416,23894183.416
generators,capital,BE,solar,Euro,330965309.07,330966396.4,330964744.45
generators,capital,BE,solar rooftop,Euro,3988.0136999,426282724.91,816374689.7
generators,capital,BG,onwind,Euro,90421621.94,262887261.66,755926076.76
generators,capital,BG,ror,Euro,6700741.038,6700741.038,6700741.038
generators,capital,BG,solar,Euro,94015338.58,1043146812.1,1043146848.1
generators,capital,BG,solar rooftop,Euro,303030180.2,582088303.1,718220126.0
generators,capital,CH,onwind,Euro,26034147.313,26033940.439,26033854.330000002
generators,capital,CH,ror,Euro,1377480907.8,1377480907.8,1377480907.8
generators,capital,CH,solar,Euro,208277335.8,566137928.2,566137950.5
generators,capital,CH,solar rooftop,Euro,320102799.0,614882949.5,884636665.3
generators,capital,CZ,onwind,Euro,105012896.67,105013014.82,244323053.24
generators,capital,CZ,ror,Euro,12033329.04,12033329.04,12033329.04
generators,capital,CZ,solar,Euro,126384610.03999999,126384876.41,126384150.35999998
generators,capital,CZ,solar rooftop,Euro,74426973.1657027,467779596.61,827738252.4000001
