countries,year,carriers,AL,GR,ME,BA,HR,RS,BE,FR,LU,NL,BG,MK,RO,CH,DE,IT,CZ,PL,SK,DK,SE,EE,LV,ES,PT,FI,GB,IE,HU,AT,SI,LT,NO
AL,2030,elec,0.0,0.0,6.872178911463975,0.0,0.0,5.8180008710115505,0.0,0.0,0.0,0.0,0.0,0.34419918082861006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR,2030,elec,8.425321392013174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.854441353209965,19.3742747613683,0.0,0.0,0.0,0.7749895916836077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME,2030,elec,0.2627096596095493,0.0,0.0,4.940786889819097,0.0,4.478534281402233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BA,2030,elec,0.0,0.0,3.2749117544324604,0.0,7.458551666158062,4.2632717552881765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,2030,elec,0.0,0.0,0.0,9.957247282266009,0.0,3.5258565419973573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.150005280228743,0.0,4.913026246239323,0.0,0.0
RS,2030,elec,0.0,0.0,0.47294082431751794,2.3330211137574794,2.265092123404461,0.0,0.0,0.0,0.0,0.0,0.40086250838674287,0.14061119687638715,2.192950800181211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6449488267600443,0.0,0.0,0.0,0.0
BE,2030,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.131433706998125,6.715894201273574,12.11686333166012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.774971937742526,0.0,0.0,0.0,0.0,0.0,0.0
FR,2030,elec,0.0,0.0,0.0,0.0,0.0,0.0,52.03889019677874,0.0,0.0,0.0,0.0,0.0,0.0,44.96931281091662,48.69127695168416,4.9285199774814235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.247723613972175,0.0,0.0,18.63192342989615,2.4761456771816914,0.0,0.0,0.0,0.0,0.0
LU,2030,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.4858161080286297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.00262604390298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,2030,elec,0.0,0.0,0.0,0.0,0.0,0.0,7.947509665491298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.117152580948854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.50405013789864,0.0,0.0,0.0,0.0,0.0,4.598895973041122
BG,2030,elec,0.0,0.0,0.0,0.0,0.0,3.3823926973894585,0.0,0.0,0.0,0.0,0.0,0.531808537638886,8.153258888938716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MK,2030,elec,0.8775440284319341,0.0,0.0,0.0,0.0,11.044529181200605,0.0,0.0,0.0,0.0,1.6895381113965497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RO,2030,elec,0.0,0.0,0.0,0.0,0.0,6.421714057257912,0.0,0.0,0.0,0.0,0.38163478911176607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.086412410744664,0.0,0.0,0.0,0.0
CH,2030,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0346305256193813,0.0,0.0,0.0,0.0,0.0,0.0,106.2276317329802,6.967339342150267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.924921433336255,0.0,0.0,0.0
DE,2030,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.754000467384838,2.3432790771038903,9.844695785608405,0.0,0.0,0.0,8.588183606672427,0.0,0.0,15.770922531725407,25.11241929465828,0.0,2.621556764158436,3.595621774799345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.930906889723444,0.0,0.0,0.0
IT,2030,elec,0.0,2.8256168423766943,0.0,0.0,0.0,0.0,0.0,16.915468508864898,0.0,0.0,0.0,0.0,0.0,59.70992430009875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.870364125847519,25.005217455214414,0.0,0.0
CZ,2030,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.070094345998823,0.0,0.0,17.96160417707345,4.824382865555794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PL,2030,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.746560605925753,0.0,0.3562979936163693,0.0,0.7400999586597721,0.0,2.3383274347071668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.550026191752763,0.0
SK,2030,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.073762453798246,13.320604231463424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.973368059753945,0.0,0.0,0.0,0.0
