country,carrier,min,max
AL,onwind,150,
AT,onwind,9000,
BE,onwind,4280,
BA,onwind,700,
BG,onwind,840,
HR,onwind,1300,
CZ,onwind,960,
DK,onwind,5000,
EE,onwind,760,
FI,onwind,6460,
FR,onwind,36000,
DE,onwind,105000,
GR,onwind,6600,
HU,onwind,0,
IE,onwind,6000,
IT,onwind,17520,
LV,onwind,200,
LU,onwind,1000,
LU,onwind,420,
ME,onwind,250,
NL,onwind,7800,
MK,onwind,150,
NO,onwind,7250,
PL,onwind,8660,
PT,onwind,8900,
RO,onwind,4200,
RS,onwind,3080,
SK,onwind,500,
SI,onwind,150,
ES,onwind,48580,
SE,onwind,16950,
CH,onwind,250,
GB,onwind,17500,
AL,offwind,0,
AT,offwind,0,
BE,offwind,4270,
BA,offwind,0,
BG,offwind,0,
HR,offwind,0,
CZ,offwind,0,
DK,offwind,4800,
EE,offwind,200,
FI,offwind,0,
FR,offwind,5670,
DE,offwind,30000,
GR,offwind,0,
HU,offwind,0,
IE,offwind,3500,
IT,offwind,900,
LV,offwind,130,
LU,offwind,700,
LU,offwind,0,
ME,offwind,0,
NL,offwind,11300,
MK,offwind,0,
NO,offwind,0,
PL,offwind,5900,
PT,offwind,260,
RO,offwind,0,
RS,offwind,0,
SK,offwind,0,
SI,offwind,0,
ES,offwind,2750,
SE,offwind,1190,
CH,offwind,0,
GB,offwind,41000,
